"ref.date","yield.bid","price.bid","asset.code","matur.date"
2008-10-17,0.1506,960.81,"NTN-F 010710",2010-07-01
2008-10-20,0.1509,960.96,"NTN-F 010710",2010-07-01
2008-10-21,0.1505,962.01,"NTN-F 010710",2010-07-01
2008-10-22,0.1514,961.39,"NTN-F 010710",2010-07-01
2008-10-23,0.1691,939.74,"NTN-F 010710",2010-07-01
2008-10-24,0.1731,935.44,"NTN-F 010710",2010-07-01
2008-10-27,0.1738,935.19,"NTN-F 010710",2010-07-01
2008-10-28,0.1687,941.98,"NTN-F 010710",2010-07-01
2008-10-29,0.1648,947.34,"NTN-F 010710",2010-07-01
2008-10-30,0.1586,955.58,"NTN-F 010710",2010-07-01
2008-10-31,0.1608,953.42,"NTN-F 010710",2010-07-01
2008-11-03,0.1621,952.38,"NTN-F 010710",2010-07-01
2008-11-04,0.161,954.3,"NTN-F 010710",2010-07-01
2008-11-05,0.1576,959.06,"NTN-F 010710",2010-07-01
2008-11-06,0.1589,958.01,"NTN-F 010710",2010-07-01
2008-11-07,0.16,957.22,"NTN-F 010710",2010-07-01
2008-11-10,0.158,960.24,"NTN-F 010710",2010-07-01
2008-11-11,0.1576,961.29,"NTN-F 010710",2010-07-01
2008-11-12,0.1575,961.97,"NTN-F 010710",2010-07-01
2008-11-13,0.1576,962.4,"NTN-F 010710",2010-07-01
2008-11-14,0.1605,959.44,"NTN-F 010710",2010-07-01
2008-11-17,0.1574,963.77,"NTN-F 010710",2010-07-01
2008-11-18,0.1571,964.69,"NTN-F 010710",2010-07-01
2008-11-19,0.1548,968.05,"NTN-F 010710",2010-07-01
2008-11-20,0.1551,968.23,"NTN-F 010710",2010-07-01
2008-11-21,0.1551,968.79,"NTN-F 010710",2010-07-01
2008-11-24,0.1551,969.34,"NTN-F 010710",2010-07-01
2008-11-25,0.1533,972.08,"NTN-F 010710",2010-07-01
2008-11-26,0.1534,972.51,"NTN-F 010710",2010-07-01
2008-11-27,0.1522,974.51,"NTN-F 010710",2010-07-01
2008-11-28,0.153,974.09,"NTN-F 010710",2010-07-01
2008-12-01,0.1514,976.57,"NTN-F 010710",2010-07-01
2008-12-02,0.1434,986.84,"NTN-F 010710",2010-07-01
2008-12-03,0.1436,987.12,"NTN-F 010710",2010-07-01
2008-12-04,0.142,989.6,"NTN-F 010710",2010-07-01
2008-12-05,0.137,996.26,"NTN-F 010710",2010-07-01
2008-12-08,0.1368,997.02,"NTN-F 010710",2010-07-01
2008-12-09,0.1351,999.62,"NTN-F 010710",2010-07-01
2008-12-10,0.1359,999.14,"NTN-F 010710",2010-07-01
2008-12-11,0.1337,1002.35,"NTN-F 010710",2010-07-01
2008-12-12,0.1326,1004.2,"NTN-F 010710",2010-07-01
2008-12-15,0.1326,1004.7,"NTN-F 010710",2010-07-01
2008-12-16,0.1323,1005.56,"NTN-F 010710",2010-07-01
2008-12-17,0.1326,1005.69,"NTN-F 010710",2010-07-01
2008-12-18,0.1286,1011.09,"NTN-F 010710",2010-07-01
2008-12-19,0.1256,1015.27,"NTN-F 010710",2010-07-01
2008-12-22,0.1269,1014.15,"NTN-F 010710",2010-07-01
2008-12-23,0.1252,1017.2,"NTN-F 010710",2010-07-01
2008-12-24,0.1247,1017.81,"NTN-F 010710",2010-07-01
2008-12-26,0.1247,1018.29,"NTN-F 010710",2010-07-01
